rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
712,6,Tortilla King LLC,unclassified food/bev mfr,,Moundridge,Kansas,http://www.mamalupes.com,4.5280334E7,140,Private,Robert Ratzlaff — Principal,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
713,6,Triple  B  Corporation,unclassified food/bev mfr,,Seattle,Washington,http://www.charliesproduce.com,1.0555139999999999E9,1062,Private,Charlie Billow — Chief Executive Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
714,6,"Tropicale Foods, LLC",unclassified food/bev mfr,,Ontario,California,http://www.tropicalefoods.com,1.1994543E8,150,Private,Steven Schiller — Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
715,6,"Tropicana Products Sales, Inc.",unclassified food/bev mfr,,Chicago,Illinois,,2.308206E7,158,Private,Glen Walter — Chief Executive Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
716,6,"Tru Fru, LLC",unclassified food/bev mfr,,Salt Lake City,Utah,http://www.trufru.com,2.7886089E7,72,Private,Rachel Lewis — Vice President Of Brand Management,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
717,6,"Tuffy's Pet Foods, Inc.",unclassified food/bev mfr,,Perham,Minnesota,http://www.klnfamilybrands.com,2.4054014E7,500,Private,Jayne Adamson — Vice President Of Sales,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
718,6,"Turkey Valley Farms, LLC",unclassified food/bev mfr,,Marshall,Minnesota,http://www.turkeyvalleyfarms.com,2.7819958E7,450,Private,Beth Wosmek — Chief Financial Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
719,6,"Turner Dairy Farms, Inc.",unclassified food/bev mfr,,Pittsburgh,Pennsylvania,http://www.turnerdairy.net,4.8297657E7,219,Private,Robert Garofalo — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
720,6,"Turri's Italian Foods, Inc.",unclassified food/bev mfr,,Roseville,Michigan,http://www.turrisitalianfoods.com,5.1539326E7,390,Private,Jason Carnago — Chief Financial Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
721,6,"Tyson Farms, Inc.",unclassified food/bev mfr,,Springdale,Arkansas,http://www.tysonfoods.com,1.1684889E8,114,Private,Regina Villines — vice president credit,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
722,6,Tyson Foods,unclassified food/bev mfr,,Chicago,Illinois,http://www.tyson.com,2.1637259E7,250,Private,Jim Conley — Principal,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
723,6,Tyson Sales and Distribution Inc.,unclassified food/bev mfr,,Springdale,Arkansas,http://www.tysonfoods.com,2.508152E7,112,Private,Kurt Suther — Vice President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
724,6,UMPQUA Dairy Products Co.,unclassified food/bev mfr,,Roseburg,Oregon,http://www.umpquadairy.com,4.6712471E7,243,Private,Steven Feldkamp — Executive Vice President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
725,6,US Beverage Packers,confirmed co-man (public sweep),beverage,Keasbey,NJ,https://www.usbevpack.com/,,,,,0,0,,verified co-man (public sweep); Northeast,not contacted,,
726,6,"UTZ Quality Foods, LLC",unclassified food/bev mfr,,Hanover,Pennsylvania,http://www.dirtys.com,7.3229755E8,1800,Private,Theresa Acappellano — Principal,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
